wavelength (A),flux density (erg/cm2/s/A)
3548.1819,1.7843E-12
3550.9302,1.7833E-12
3553.6785,1.6784E-12
3556.4268,1.6276E-12
3559.1753,1.6222E-12
3561.9236,1.6779E-12
3564.6719,1.5301E-12
3567.4204,1.3094E-12
3570.1687,1.2155E-12
3572.9172,1.3109E-12
3575.6655,1.4187E-12
3578.4141,1.3641E-12
3581.1624,1.1403E-12
3583.9109,1.1045E-12
3586.6592,1.0997E-12
3589.4077,1.3033E-12
3592.156,1.5651E-12
3594.9045,1.6441E-12
3597.6531,1.7594E-12
3600.4014,1.7661E-12
3603.1499,1.6188E-12
3605.8984,1.4659E-12
3608.647,1.3442E-12
3611.3953,1.3762E-12
3614.1438,1.4656E-12
3616.8923,1.4804E-12
3619.6409,1.3004E-12
3622.3894,1.4857E-12
3625.1379,1.6596E-12
3627.8865,1.7973E-12
3630.635,1.5708E-12
3633.3835,1.3954E-12
3636.1321,1.5217E-12
3638.8806,1.6828E-12
3641.6292,1.7449E-12
3644.3777,1.6074E-12
3647.1262,1.4744E-12
3649.8748,1.4904E-12
3652.6233,1.6919E-12
3655.3718,1.8654E-12
3658.1204,1.9430E-12
3660.8691,1.9833E-12
3663.6177,1.9264E-12
3666.3662,1.8727E-12
3669.1147,1.8426E-12
3671.8635,1.8590E-12
3674.6121,1.8698E-12
3677.3606,1.8270E-12
3680.1091,1.6729E-12
3682.8579,1.7082E-12
3685.6064,1.6972E-12
3688.355,1.6456E-12
3691.1038,1.8357E-12
3693.8523,1.9347E-12
3696.6011,1.9377E-12
3699.3496,2.0053E-12
3702.0984,1.9753E-12
3704.8469,1.7173E-12
3707.5955,1.5550E-12
3710.3442,1.6593E-12
3713.0928,1.9207E-12
3715.8416,2.0233E-12
3718.5901,1.7586E-12
3721.3389,1.3845E-12
3724.0876,1.5187E-12
3726.8362,1.7497E-12
3729.585,1.7106E-12
3732.3335,1.5296E-12
3735.0823,1.1902E-12
3737.8311,1.2390E-12
3740.5796,1.5543E-12
3743.3284,1.5746E-12
3746.0769,1.2997E-12
3748.8257,1.1891E-12
3751.5745,1.4309E-12
3754.3232,1.7392E-12
3757.0718,1.8368E-12
3759.8206,1.5571E-12
3762.5693,1.6583E-12
3765.3179,1.6486E-12
3768.0667,1.6746E-12
3770.8154,1.7760E-12
3773.5642,1.9550E-12
3776.3127,2.0635E-12
3779.0615,2.1386E-12
3781.8103,2.2302E-12
3784.5591,2.2009E-12
3787.3076,1.9517E-12
3790.0564,1.8133E-12
3792.8052,1.7953E-12
3795.554,1.6669E-12
3798.3027,1.5890E-12
3801.0515,1.7390E-12
3803.8,2.0237E-12
3806.5488,2.0443E-12
3809.2976,2.0302E-12
3812.0464,2.0137E-12
3814.7952,1.6985E-12
3817.5439,1.5507E-12
3820.2925,1.4767E-12
3823.0413,1.4169E-12
3825.79,1.2409E-12
3828.5388,1.1479E-12
3831.2876,1.1594E-12
3834.0364,1.0813E-12
3836.7852,1.1239E-12
3839.5337,1.1318E-12
3842.2825,1.3779E-12
3845.0312,1.7192E-12
3847.78,1.8435E-12
3850.5288,1.8328E-12
3853.2776,1.8245E-12
3856.0264,1.7005E-12
3858.7751,1.5598E-12
3861.5239,1.5128E-12
3864.2725,1.7272E-12
3867.0212,1.8488E-12
3869.77,1.7559E-12
3872.5188,1.5949E-12
3875.2676,1.7099E-12
3878.0164,1.6887E-12
3880.7651,1.6302E-12
3883.5139,1.6072E-12
3886.2625,1.5283E-12
3889.0112,1.4568E-12
3891.76,1.6645E-12
3894.5088,1.7997E-12
3897.2576,1.8827E-12
3900.0063,1.8757E-12
3902.7551,1.8253E-12
3905.5037,1.7414E-12
3908.2524,1.8697E-12
3911.0012,2.0519E-12
3913.75,2.0875E-12
3916.4988,2.0171E-12
3919.2476,1.8989E-12
3921.9961,1.7058E-12
3924.7449,1.6258E-12
3927.4937,1.3936E-12
3930.2424,1.0106E-12
3932.9912,7.3543E-13
3935.7397,7.1771E-13
