# wavelength (A)  flux density (erg/cm2/s/A)
       4317.7666  2.60050e-12
       4320.5146  2.74440e-12
       4323.2622  2.53590e-12
       4326.0103  2.21510e-12
       4328.7578  2.42160e-12
       4331.5059  2.66680e-12
       4334.2534  2.69810e-12
       4337.0015  2.54980e-12
       4339.7490  2.26260e-12
       4342.4971  2.09520e-12
       4345.2446  2.41510e-12
       4347.9922  2.60940e-12
       4350.7402  2.66220e-12
       4353.4878  2.48130e-12
       4356.2354  2.61410e-12
       4358.9834  2.69970e-12
       4361.7310  2.76410e-12
       4364.4785  2.81720e-12
       4367.2261  2.80300e-12
       4369.9741  2.70970e-12
       4372.7217  2.65300e-12
       4375.4692  2.55500e-12
       4378.2168  2.61240e-12
       4380.9644  2.59430e-12
       4383.7119  2.30910e-12
       4386.4595  2.25640e-12
       4389.2070  2.47210e-12
       4391.9546  2.56070e-12
       4394.7021  2.63920e-12
       4397.4497  2.67330e-12
       4400.1973  2.67970e-12
       4402.9448  2.59720e-12
       4405.6924  2.47340e-12
       4408.4395  2.59770e-12
       4411.1870  2.72780e-12
       4413.9346  2.83940e-12
       4416.6821  2.70660e-12
       4419.4292  2.81950e-12
       4422.1768  2.89700e-12
       4424.9243  2.82320e-12
       4427.6714  2.83670e-12
       4430.4189  2.86290e-12
       4433.1665  2.83050e-12
       4435.9136  2.74920e-12
       4438.6611  2.85950e-12
       4441.4082  2.88470e-12
       4444.1558  2.87060e-12
       4446.9028  2.91480e-12
       4449.6504  2.89130e-12
       4452.3975  2.82870e-12
       4455.1445  2.72520e-12
       4457.8921  2.63200e-12
       4460.6392  2.65870e-12
       4463.3862  2.70760e-12
       4466.1333  2.82290e-12
       4468.8809  2.83800e-12
       4471.6279  2.85620e-12
       4474.3750  2.96890e-12
       4477.1221  3.01680e-12
       4479.8691  2.98030e-12
       4482.6162  2.83540e-12
       4485.3633  2.95710e-12
